date,team_1,team_2,team_1_score,team_2_score,tournament,winner
06-01-2023,Iraq,Oman,0.0,0.0,Gulf Cup,Draw
06-01-2023,Yemen,Saudi Arabia,0.0,2.0,Gulf Cup,Saudi Arabia
07-01-2023,Kuwait,Qatar,0.0,2.0,Gulf Cup,Qatar
09-01-2023,Sweden,Finland,2.0,0.0,Friendly,Sweden
09-01-2023,Iraq,Saudi Arabia,2.0,0.0,Gulf Cup,Iraq
10-01-2023,Qatar,Bahrain,1.0,2.0,Gulf Cup,Bahrain
12-01-2023,Sweden,Iceland,2.0,1.0,Friendly,Sweden
12-01-2023,Iraq,Yemen,5.0,0.0,Gulf Cup,Iraq
12-01-2023,Saudi Arabia,Oman,1.0,2.0,Gulf Cup,Oman
13-01-2023,Qatar,United Arab Emirates,1.0,1.0,Gulf Cup,Draw
16-01-2023,Iraq,Qatar,2.0,1.0,Gulf Cup,Iraq
19-01-2023,Iraq,Oman,3.0,2.0,Gulf Cup,Iraq
28-01-2023,United States,Colombia,0.0,0.0,Friendly,Draw
12-03-2023,Guatemala,Panama,1.0,1.0,Friendly,Draw
23-03-2023,Argentina,Panama,2.0,0.0,Friendly,Argentina
23-03-2023,Iran,Russia,1.0,1.0,Friendly,Draw
23-03-2023,New Zealand,China,0.0,0.0,Friendly,Draw
23-03-2023,Ghana,Angola,1.0,0.0,African Cup of Nations qualification,Ghana
23-03-2023,Algeria,Niger,2.0,1.0,African Cup of Nations qualification,Algeria
23-03-2023,Italy,England,1.0,2.0,UEFA Euro qualification,England
23-03-2023,Portugal,Liechtenstein,4.0,0.0,UEFA Euro qualification,Portugal
23-03-2023,Bosnia and Herzegovina,Iceland,3.0,0.0,UEFA Euro qualification,Bosnia and Herzegovina
23-03-2023,Suriname,Mexico,0.0,2.0,CONCACAF Nations League,Mexico
24-03-2023,Australia,Ecuador,3.0,1.0,Friendly,Australia
24-03-2023,Japan,Uruguay,1.0,1.0,Friendly,Draw
24-03-2023,South Korea,Colombia,2.0,2.0,Friendly,Draw
24-03-2023,Saudi Arabia,Venezuela,1.0,2.0,Friendly,Venezuela
24-03-2023,Uzbekistan,Bolivia,1.0,0.0,Friendly,Uzbekistan
24-03-2023,Cape Verde,Eswatini,0.0,0.0,African Cup of Nations qualification,Draw
24-03-2023,Egypt,Malawi,2.0,0.0,African Cup of Nations qualification,Egypt
24-03-2023,Ivory Coast,Comoros,3.0,1.0,African Cup of Nations qualification,Ivory Coast
24-03-2023,DR Congo,Mauritania,3.0,1.0,African Cup of Nations qualification,DR Congo
24-03-2023,Tunisia,Libya,3.0,0.0,African Cup of Nations qualification,Tunisia
24-03-2023,South Africa,Liberia,2.0,2.0,African Cup of Nations qualification,Draw
24-03-2023,Senegal,Mozambique,5.0,1.0,African Cup of Nations qualification,Senegal
24-03-2023,France,Netherlands,4.0,0.0,UEFA Euro qualification,France
24-03-2023,Czech Republic,Poland,3.0,1.0,UEFA Euro qualification,Czech Republic
24-03-2023,Austria,Azerbaijan,4.0,1.0,UEFA Euro qualification,Austria
