Player_ID,Team_Name,Player_Name,apps,goal,assistTotal,shotsPerGame,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnoverPerGame,rating
5583,Portugal,Cristiano Ronaldo,38,33,0,6.2,0.2,,,1.0,0.6,0.6,7.006
8280,Scotland,Craig Gordon,8,0,0,,,,0.3333333333333333,,,0.5,6.4127777777777775
11119,Argentina,Lionel Messi,41,25,8,3.9499999999999997,2.5166666666666666,2.6095238095238096,1.604761904761905,0.45476190476190476,2.2238095238095243,1.2904761904761903,7.8121190476190465
13754,Germany,Manuel Neuer,43,0,0,,,0.0909090909090909,0.39393939393939387,,,,6.387704545454545
20874,Croatia,Luka Modric,55,4,5,0.8766339869281046,1.097222222222222,0.4375,0.545751633986928,,0.3014705882352941,0.6135620915032679,6.715343137254902
25191,Belgium,Axel Witsel,39,2,2,0.8125,0.53125,0.3125,1.15625,0.03125,0.546875,0.71875,6.576354166666667
26236,Sweden,Kristoffer Nordfeldt,20,0,1,,0.5,,0.5,,,,6.6175
30966,Uruguay,Fernando Muslera,9,0,0,,,,,,,,5.72
34069,Haiti,Johny Placide,34,0,0,,,,,,,,6.28
34350,New Zealand,Kosta Barbarouses,24,5,0,,,,,,,,
34693,Austria,Marko Arnautovic,26,10,3,2.395238095238095,1.1476190476190478,0.6,0.8047619047619049,1.1095238095238094,0.65,1.319047619047619,6.879190476190476
36469,New Zealand,Tommy Smith,18,0,0,,,,,,,,
36745,Colombia,David Ospina,4,0,0,,,,,,,,
37188,Japan,Yuto Nagatomo,11,0,0,,,,,,,,
37757,Qatar,Hassan Al Haydos,6,2,0,,,,,,,,6.09
39187,Norway,Ørjan Nyland,18,0,0,,,,0.125,,0.2,,6.3873750000000005
39722,Austria,David Alaba,25,0,1,0.45454545454545453,1.375,0.375,,,,0.42424242424242425,6.476382575757576
42898,New Zealand,Michael Boxall,12,0,0,,,0.1428571428571428,0.7142857142857142,,1.0,0.6428571428571428,6.393571428571429
43670,Qatar,Lucas Mendes,5,0,0,,,,,,,,
44714,Turkiye,Mert Günok,18,0,0,,,,0.25,,,,6.20975
50835,Brazil,Neymar,17,8,2,2.625,2.125,1.0,4.5,0.75,2.0,4.0,6.9925
53362,Colombia,Camilo Vargas,24,0,0,,,,,,,,6.798333333333335
61610,Switzerland,Ricardo Rodríguez,43,0,1,0.13607085346215778,0.8538647342995169,0.1328502415458937,0.4613526570048309,,0.2946859903381642,0.42632850241545894,6.768333333333334
67114,Curacao,Eloy Room,20,0,0,,,,,,,,5.28
67491,Ghana,Jordan Ayew,59,14,3,1.0595238095238095,0.6428571428571429,0.7976190476190477,1.380952380952381,0.1904761904761904,1.4047619047619049,2.095238095238096,6.166428571428572
68659,England,Jordan Henderson,43,1,3,0.1875,0.3802083333333333,0.09375,0.21875,0.03125,0.1875,0.5,6.423697916666667
70291,DR Congo,Gaël Kakuta,14,3,1,2.5,1.0,0.5,,,0.5,1.5,7.300000000000001
70524,Croatia,Ivan Perisic,52,12,17,1.8499999999999999,1.7027777777777777,0.5416666666666666,0.2861111111111111,0.325,0.4138888888888889,1.2472222222222222,7.192583333333334
71182,Colombia,James Rodríguez,47,7,8,1.4166666666666665,2.833333333333333,0.5,1.1666666666666665,0.1666666666666666,0.75,1.1666666666666665,7.355
71824,Germany,Pascal Groß,44,1,5,0.7686602870813397,1.079824561403509,0.3106858054226475,0.5988038277511961,0.2105263157894736,0.5208931419457735,0.8153748006379585,6.608756618819777
71968,South Korea,Kim Seung-Gyu,13,0,0,,,,,,,,6.33
72982,Iran,Valon Berisha,17,0,0,,,1.0,,,,0.6666666666666666,6.076666666666666
73084,Belgium,Kevin De Bruyne,34,12,7,2.666666666666667,2.3666666666666667,0.9166666666666667,0.6666666666666667,0.19444444444444442,1.1777777777777778,0.9444444444444444,7.259111111111112
73380,New Zealand,Chris Wood,22,5,2,2.111111111111111,1.511111111111111,0.0666666666666666,0.30000000000000004,0.5333333333333333,0.7777777777777778,3.755555555555556,6.740666666666667
73798,Belgium,Thibaut Courtois,59,0,2,,0.1065340909090909,,0.1221590909090909,,,0.03125,6.795031565656566
74790,Cape Verde,Ryan Mendes,16,1,0,1.375,0.5,0.75,1.125,2.0,1.0,1.625,6.35125
75217,Croatia,Andrej Kramaric,48,21,7,2.378676470588235,0.9669117647058824,0.46691176470588236,0.33088235294117646,0.19852941176470584,0.7058823529411764,0.8933823529411764,7.050294117647058
75691,Argentina,Nicolás Otamendi,78,8,1,0.75,0.4833333333333334,0.4,1.3055555555555556,0.5,0.225,0.4625,6.977666666666666
77440,Germany,Oliver Baumann,44,0,0,,0.0294117647058823,0.0588235294117647,0.17156862745098034,,,,6.627254901960784
78498,Belgium,Romelu Lukaku,14,6,0,1.6800000000000002,0.45,,2.0,0.5,1.1333333333333333,0.875,6.573
79700,Panama,Alberto Quintero,3,0,0,,,,,,,,
79967,Curacao,Leandro Bacuna,10,1,0,2.0,1.0,1.0,2.0,,1.0,1.0,5.32
80464,Senegal,Idrissa Gueye,42,2,4,0.8657142857142857,0.9028571428571429,0.35428571428571426,0.9771428571428571,,0.39428571428571424,0.7857142857142857,6.954314285714286
80931,Australia,Mathew Leckie,9,0,0,,,,,,,,
81523,Australia,Mathew Ryan,39,0,0,0.0555555555555555,,,0.0277777777777777,,,0.0555555555555555,6.848888888888888
82277,England,Dan Burn,53,2,4,0.7149425287356322,0.4739811912225705,0.12539184952978055,0.3325235109717868,0.1034482758620689,0.5841170323928945,0.7751567398119121,7.06580329153605
82917,Scotland,Kenny McLean,56,4,4,0.6547619047619048,0.8154761904761905,0.5595238095238095,1.1984126984126984,0.0238095238095238,0.6865079365079364,0.6130952380952381,6.541880952380952
83249,Australia,Aziz Behich,30,3,0,,,,,,1.0,,6.15
83532,England,Harry Kane,66,73,8,3.213042803970223,1.180272952853598,1.0614299007444168,1.4003722084367245,0.5502326302729528,0.7056606699751862,1.1661600496277915,7.857030086848635
83809,Argentina,Nicolás Tagliafico,53,1,3,0.7083333333333334,0.5222222222222223,0.24166666666666664,1.5361111111111112,0.1722222222222222,0.4777777777777778,0.8722222222222222,6.621583333333334
83895,Ecuador,Enner Valencia,24,9,0,1.1666666666666665,0.6666666666666666,,2.3333333333333335,1.0,1.3333333333333333,2.6666666666666665,6.033333333333333
84919,Austria,Michael Gregoritsch,45,15,2,2.6519607843137254,0.5183823529411764,0.1176470588235294,0.625,0.3051470588235294,1.1568627450980393,1.5098039215686274,6.825294117647059
85006,USA,Tim Ream,24,0,1,0.0909090909090909,0.0909090909090909,0.6818181818181818,0.5454545454545454,0.3333333333333333,0.1818181818181818,0.5656565656565656,6.707979797979799
85070,Netherlands,Marten de Roon,51,2,4,0.44362745098039214,0.6715686274509804,0.088235294117647,0.2034313725490196,,0.1151960784313725,0.47058823529411764,6.5504411764705885
86513,DR Congo,Cédric Bakambu,32,5,3,1.388888888888889,0.7407407407407408,0.11111111111111105,0.611111111111111,0.6111111111111112,1.0185185185185184,1.5925925925925928,6.582777777777778
86593,Scotland,Grant Hanley,14,0,0,0.25,,0.5,0.375,,0.25,,7.103333333333334
86829,Japan,Wataru Endo,15,0,1,0.5625,0.5625,0.5,1.9375,,1.2083333333333333,1.375,6.609999999999999
87247,Panama,Luis Mejía,8,0,0,,,,,,,,
88112,Colombia,Santiago Arias,11,0,0,0.3333333333333333,0.6666666666666666,,0.3333333333333333,0.3333333333333333,0.6666666666666666,,6.373333333333334
88300,Brazil,Danilo,30,1,0,0.3333333333333333,0.875,0.25,0.25,,0.25,1.0,6.5912500000000005
88526,Brazil,Casemiro,47,10,2,1.5294117647058822,1.0294117647058822,0.1764705882352941,1.0294117647058822,0.1470588235294117,0.6911764705882353,1.4852941176470589,6.7266176470588235
89401,Switzerland,Granit Xhaka,46,4,6,1.372549019607843,1.4444444444444444,0.24509803921568624,1.3529411764705883,,0.5555555555555555,0.4607843137254902,6.930718954248365
89925,France,Lucas Digne,51,0,8,0.635386119257087,0.9058325187357444,0.18442489410231344,0.724991854024112,0.0967741935483871,0.3548387096774194,0.47214076246334313,6.802036493971978
90115,Algeria,Aïssa Mandi,57,3,0,0.4686520376175548,0.27251828631138975,0.1379310344827586,0.6741901776384536,0.10815047021943569,0.14263322884012536,0.39247648902821314,6.788158829676071
