Team,Group,Elo,P(Champion),P(Final),P(SF),P(QF),P(R16),P(R32),P(Exit Group)
Argentina,J,1777.5171,0.2486,0.3430,0.4698,0.6002,0.7174,0.9276,0.0724
Spain,H,1851.9669,0.1434,0.2220,0.3744,0.4953,0.6878,0.9473,0.0527
England,L,1809.4571,0.1093,0.2039,0.3253,0.4972,0.6981,0.9436,0.0564
Colombia,K,1650.4202,0.0565,0.1015,0.2026,0.3537,0.5614,0.7891,0.2109
Morocco,C,1846.3286,0.0564,0.1303,0.2364,0.4089,0.6134,0.9084,0.0916
France,I,1774.5368,0.0563,0.1307,0.2380,0.4062,0.6046,0.8663,0.1337
Brazil,C,1608.8434,0.0563,0.1324,0.2414,0.4021,0.5724,0.8399,0.1601
Portugal,K,1684.4420,0.0432,0.0841,0.1891,0.3751,0.6063,0.8893,0.1107
Ecuador,E,1609.8575,0.0394,0.0873,0.1552,0.2698,0.4814,0.6882,0.3118
Uruguay,H,1588.7313,0.0292,0.0625,0.1385,0.2500,0.3937,0.7525,0.2475
Croatia,L,1697.3526,0.0235,0.0595,0.1322,0.2560,0.4824,0.8337,0.1663
Senegal,I,1754.3482,0.0219,0.0612,0.1334,0.2793,0.4823,0.7767,0.2233
Switzerland,B,1634.8674,0.0162,0.0447,0.1222,0.2871,0.6124,0.8903,0.1097
Norway,I,1701.8857,0.0158,0.0499,0.1217,0.2697,0.4717,0.7837,0.2163
Japan,F,1718.1764,0.0150,0.0465,0.1122,0.2448,0.4202,0.8401,0.1599
Netherlands,F,1688.6031,0.0114,0.0400,0.0993,0.2290,0.4136,0.8240,0.1760
Paraguay,D,1525.6793,0.0114,0.0276,0.0741,0.1862,0.3830,0.6282,0.3718
Germany,E,1678.5363,0.0100,0.0357,0.0878,0.1975,0.4670,0.7475,0.2525
Australia,D,1675.8085,0.0093,0.0248,0.0772,0.2237,0.4745,0.8110,0.1890
Mexico,A,1681.3327,0.0043,0.0181,0.0553,0.1506,0.4468,0.8244,0.1756
Belgium,G,1641.5964,0.0039,0.0120,0.0451,0.1578,0.3983,0.7384,0.2616
Egypt,G,1670.7064,0.0032,0.0100,0.0392,0.1418,0.3838,0.7573,0.2427
Canada,B,1631.2729,0.0031,0.0142,0.0521,0.1580,0.4248,0.7323,0.2677
Austria,J,1654.2551,0.0023,0.0081,0.0321,0.1042,0.2296,0.5751,0.4249
Ivory Coast,E,1675.6955,0.0016,0.0070,0.0276,0.0934,0.3433,0.7911,0.2089
Scotland,C,1533.8072,0.0016,0.0077,0.0285,0.0923,0.2067,0.5504,0.4496
Iran,G,1689.5859,0.0015,0.0061,0.0270,0.1204,0.3635,0.7835,0.2165
Uzbekistan,K,1656.4365,0.0014,0.0049,0.0206,0.0664,0.2020,0.5298,0.4702
Tunisia,F,1602.0897,0.0009,0.0041,0.0172,0.0678,0.2013,0.5811,0.4189
Algeria,J,1702.3436,0.0009,0.0041,0.0244,0.0935,0.2397,0.7448,0.2552
Turkey,D,1661.6327,0.0006,0.0034,0.0199,0.0949,0.2906,0.6417,0.3583
Czech Republic,A,1570.4651,0.0004,0.0036,0.0172,0.0678,0.2871,0.6470,0.3530
DR Congo,K,1637.8816,0.0002,0.0011,0.0072,0.0312,0.1233,0.4178,0.5822
South Africa,A,1600.3989,0.0002,0.0015,0.0100,0.0467,0.2404,0.6525,0.3475
South Korea,A,1665.0340,0.0002,0.0023,0.0120,0.0533,0.2464,0.5918,0.4082
Sweden,F,1526.5144,0.0001,0.0010,0.0066,0.0355,0.1290,0.4400,0.5600
Jordan,J,1607.1786,0.0001,0.0005,0.0036,0.0220,0.0918,0.4268,0.5732
United States,D,1559.3254,0.0001,0.0009,0.0067,0.0457,0.1985,0.6044,0.3956
Ghana,L,1555.9312,0.0001,0.0002,0.0020,0.0125,0.0703,0.3398,0.6602
Panama,L,1592.9839,0.0000,0.0006,0.0047,0.0260,0.1194,0.5156,0.4844
Iraq,I,1591.3112,0.0000,0.0001,0.0013,0.0109,0.0593,0.2778,0.7222
Saudi Arabia,H,1541.1821,0.0000,0.0002,0.0019,0.0132,0.0605,0.3999,0.6001
New Zealand,G,1575.0135,0.0000,0.0001,0.0016,0.0137,0.0979,0.4267,0.5733
Qatar,B,1509.0815,0.0000,0.0000,0.0005,0.0082,0.0850,0.4402,0.5598
Haiti,C,1553.5058,0.0000,0.0000,0.0001,0.0016,0.0188,0.3470,0.6530
Curaçao,E,1581.4592,0.0000,0.0001,0.0013,0.0117,0.1049,0.4682,0.5318
Cape Verde,H,1568.9219,0.0000,0.0003,0.0028,0.0170,0.0772,0.4723,0.5277
Bosnia and Herzegovina,B,1489.5007,0.0000,0.0000,0.0007,0.0103,0.1159,0.5951,0.4049
