Group,Team,P(Advance),P(Exit Group),P(Win WC),P(Reach Final),P(Reach SF),P(Reach QF),Status,Qualifies
A,Mexico,0.8244,0.1756,0.0043,0.0181,0.0553,0.1506,Likely,Yes
A,South Africa,0.6525,0.3475,0.0002,0.0015,0.01,0.0467,Toss-up,Yes
A,Czech Republic,0.647,0.353,0.0004,0.0036,0.0172,0.0678,Toss-up,Yes
A,South Korea,0.5918,0.4082,0.0002,0.0023,0.012,0.0533,Toss-up,Yes
B,Switzerland,0.8903,0.1097,0.0162,0.0447,0.1222,0.2871,Lock,Yes
B,Canada,0.7323,0.2677,0.0031,0.0142,0.0521,0.158,Likely,Yes
B,Bosnia and Herzegovina,0.5951,0.4049,0.0,0.0,0.0007,0.0103,Toss-up,Yes
B,Qatar,0.4402,0.5598,0.0,0.0,0.0005,0.0082,Tough,No
C,Morocco,0.9084,0.0916,0.0564,0.1303,0.2364,0.4089,Lock,Yes
C,Brazil,0.8399,0.1601,0.0563,0.1324,0.2414,0.4021,Likely,Yes
C,Scotland,0.5504,0.4496,0.0016,0.0077,0.0285,0.0923,Toss-up,Yes
C,Haiti,0.347,0.653,0.0,0.0,0.0001,0.0016,Tough,No
D,Australia,0.811,0.189,0.0093,0.0248,0.0772,0.2237,Likely,Yes
D,Turkey,0.6417,0.3583,0.0006,0.0034,0.0199,0.0949,Toss-up,Yes
D,Paraguay,0.6282,0.3718,0.0114,0.0276,0.0741,0.1862,Toss-up,Yes
D,United States,0.6044,0.3956,0.0001,0.0009,0.0067,0.0457,Toss-up,Yes
E,Ivory Coast,0.7911,0.2089,0.0016,0.007,0.0276,0.0934,Likely,Yes
E,Germany,0.7475,0.2525,0.01,0.0357,0.0878,0.1975,Likely,Yes
E,Ecuador,0.6882,0.3118,0.0394,0.0873,0.1552,0.2698,Toss-up,Yes
E,Curaçao,0.4682,0.5318,0.0,0.0001,0.0013,0.0117,Tough,No
F,Japan,0.8401,0.1599,0.015,0.0465,0.1122,0.2448,Likely,Yes
F,Netherlands,0.824,0.176,0.0114,0.04,0.0993,0.229,Likely,Yes
F,Tunisia,0.5811,0.4189,0.0009,0.0041,0.0172,0.0678,Toss-up,Yes
F,Sweden,0.44,0.56,0.0001,0.001,0.0066,0.0355,Tough,No
G,Iran,0.7835,0.2165,0.0015,0.0061,0.027,0.1204,Likely,Yes
G,Egypt,0.7573,0.2427,0.0032,0.01,0.0392,0.1418,Likely,Yes
G,Belgium,0.7384,0.2616,0.0039,0.012,0.0451,0.1578,Likely,Yes
G,New Zealand,0.4267,0.5733,0.0,0.0001,0.0016,0.0137,Tough,No
H,Spain,0.9473,0.0527,0.1434,0.222,0.3744,0.4953,Lock,Yes
H,Uruguay,0.7525,0.2475,0.0292,0.0625,0.1385,0.25,Likely,Yes
H,Cape Verde,0.4723,0.5277,0.0,0.0003,0.0028,0.017,Tough,No
H,Saudi Arabia,0.3999,0.6001,0.0,0.0002,0.0019,0.0132,Tough,No
I,France,0.8663,0.1337,0.0563,0.1307,0.238,0.4062,Lock,Yes
I,Norway,0.7837,0.2163,0.0158,0.0499,0.1217,0.2697,Likely,Yes
I,Senegal,0.7767,0.2233,0.0219,0.0612,0.1334,0.2793,Likely,Yes
I,Iraq,0.2778,0.7222,0.0,0.0001,0.0013,0.0109,Unlikely,No
J,Argentina,0.9276,0.0724,0.2486,0.343,0.4698,0.6002,Lock,Yes
J,Algeria,0.7448,0.2552,0.0009,0.0041,0.0244,0.0935,Likely,Yes
J,Austria,0.5751,0.4249,0.0023,0.0081,0.0321,0.1042,Toss-up,Yes
J,Jordan,0.4268,0.5732,0.0001,0.0005,0.0036,0.022,Tough,No
K,Portugal,0.8893,0.1107,0.0432,0.0841,0.1891,0.3751,Lock,Yes
K,Colombia,0.7891,0.2109,0.0565,0.1015,0.2026,0.3537,Likely,Yes
K,Uzbekistan,0.5298,0.4702,0.0014,0.0049,0.0206,0.0664,Toss-up,Yes
K,DR Congo,0.4178,0.5822,0.0002,0.0011,0.0072,0.0312,Tough,No
L,England,0.9436,0.0564,0.1093,0.2039,0.3253,0.4972,Lock,Yes
L,Croatia,0.8337,0.1663,0.0235,0.0595,0.1322,0.256,Likely,Yes
L,Panama,0.5156,0.4844,0.0,0.0006,0.0047,0.026,Toss-up,Yes
L,Ghana,0.3398,0.6602,0.0001,0.0002,0.002,0.0125,Tough,No
